customer_cohort,plan,baseline_customers,baseline_retention,drop_customers,drop_retention,delta_pp
At Risk,Enterprise,13,84.6,2,50.0,-34.6
At Risk,Pro,56,62.5,10,30.0,-32.5
At Risk,Free,226,30.1,22,4.5,-25.5
At Risk,Basic,132,40.9,19,15.8,-25.1
New,Enterprise,41,80.5,5,40.0,-40.5
New,Free,494,55.7,73,19.2,-36.5
New,Basic,189,73.0,29,37.9,-35.1
New,Pro,79,92.4,16,81.2,-11.2
Power User,Free,154,77.3,27,48.1,-29.1
Power User,Basic,174,94.3,31,67.7,-26.5
Power User,Enterprise,99,100.0,21,76.2,-23.8
Power User,Pro,259,99.2,58,79.3,-19.9
Returning,Basic,468,81.0,66,43.9,-37.0
Returning,Free,561,59.7,96,28.1,-31.6
Returning,Pro,388,91.0,86,62.8,-28.2
Returning,Enterprise,132,92.4,27,66.7,-25.8
