visit_id,customer_id,signup_date,visit_date,week_start_date,is_last_week_dip_period,days_since_signup,visit_number_for_customer,previous_lifetime_visits,customer_cohort,plan,acquisition_channel,primary_device,region,referrer_source,app_version,feature_area,session_duration_minutes,pages_viewed,support_ticket_created,support_ticket_reason,mobile_crash_bug_exposed,email_campaign_received,promo_exposed,churn_risk_score,retained_next_7d,retention_drop_driver_hint
VIS-AEE027FA82FA,CUST-00001,2025-09-20,2026-03-04,2026-03-02,0,165,1,0,New,Basic,Organic Search,iOS,West,direct,4.2.8,Search,12.64,8,0,,0,0,0,55.3,1,normal_activity
VIS-5239C98DAB0E,CUST-00001,2025-09-20,2026-03-06,2026-03-02,0,167,2,1,New,Basic,Organic Search,iOS,West,linkedin,4.2.8,Reports,0.75,5,0,,0,0,0,55.7,1,normal_activity
VIS-3A289922B6AA,CUST-00001,2025-09-20,2026-03-03,2026-03-02,0,164,3,2,New,Basic,Organic Search,iOS,West,linkedin,4.2.9,Export,7.69,1,0,,0,0,0,48.3,1,normal_activity
VIS-114E16F4E979,CUST-00003,2026-01-11,2026-03-06,2026-03-02,0,54,1,0,Returning,Basic,Email,Android,South,google,4.2.7,Search,5.89,7,0,,0,0,0,38.5,1,normal_activity
VIS-2A5DE1A3E25B,CUST-00003,2026-01-11,2026-03-07,2026-03-02,0,55,2,1,Returning,Basic,Email,Android,South,newsletter,4.2.9,AI Assistant,13.86,5,0,,0,0,0,56.2,1,normal_activity
VIS-71F2BB86DF2B,CUST-00004,2026-01-21,2026-03-05,2026-03-02,0,43,1,0,Returning,Free,Email,iOS,International,google,4.2.9,Dashboard,2.18,3,0,,0,0,0,58.6,0,normal_activity
VIS-4ED90BBE0644,CUST-00005,2026-02-06,2026-03-04,2026-03-02,0,26,1,0,Returning,Free,Paid Social,iOS,West,partner_site,4.2.9,Reports,7.92,1,0,,0,0,0,47.9,0,normal_activity
VIS-CE77C49B569D,CUST-00006,2025-11-26,2026-03-08,2026-03-02,0,102,1,0,Returning,Free,Organic Search,Android,Midwest,partner_site,4.2.9,Settings,2.61,2,0,,0,0,0,58.1,1,normal_activity
VIS-626D04F425A4,CUST-00006,2025-11-26,2026-03-03,2026-03-02,0,97,2,1,Returning,Free,Organic Search,Android,Midwest,instagram,4.2.7,Search,5.4,4,0,,0,0,0,53.8,1,normal_activity
VIS-D891EEB1A6FA,CUST-00006,2025-11-26,2026-03-07,2026-03-02,0,101,3,2,Returning,Free,Organic Search,Android,Midwest,newsletter,4.2.8,Dashboard,4.46,4,0,,0,0,0,50.3,1,normal_activity
